0,"Alta Floresta D'Oeste, RO"
1,"Alto Alegre dos Parecis, RO"
2,"Alto Paraiso, RO"
3,"Alvorada D'Oeste, RO"
4,"Ariquemes, RO"
5,"Buritis, RO"
6,"Cabixi, RO"
7,"Cacaulandia, RO"
8,"Cacoal, RO"
9,"Campo Novo de Rondonia, RO"
10,"Candeias do Jamari, RO"
11,"Castanheiras, RO"
12,"Cerejeiras, RO"
13,"Chupinguaia, RO"
14,"Colorado do Oeste, RO"
15,"Corumbiara, RO"
16,"Costa Marques, RO"
17,"Cujubim, RO"
18,"Espigao D'Oeste, RO"
19,"Governador Jorge Teixeira, RO"
20,"Guajara-Mirim, RO"
21,"Itapua do Oeste, RO"
22,"Jaru, RO"
23,"Ji-Parana, RO"
24,"Machadinho D'Oeste, RO"
25,"Ministro Andreazza, RO"
26,"Mirante da Serra, RO"
27,"Monte Negro, RO"
28,"Nova Brasilandia D'Oeste, RO"
29,"Nova Mamore, RO"
30,"Nova Uniao, RO"
31,"Ouro Preto do Oeste, RO"
32,"Parecis, RO"
33,"Pimenta Bueno, RO"
34,"Pimenteiras do Oeste, RO"
35,"Porto Velho, RO"
36,"Presidente Medici, RO"
37,"Primavera de Rondonia, RO"
38,"Rio Crespo, RO"
39,"Rolim de Moura, RO"
40,"Santa Luzia D'Oeste, RO"
41,"Sao Felipe D'Oeste, RO"
42,"Sao Francisco do Guapore, RO"
43,"Sao Miguel do Guapore, RO"
44,"Seringueiras, RO"
45,"Teixeiropolis, RO"
46,"Theobroma, RO"
47,"Urupa, RO"
48,"Vale do Anari, RO"
49,"Vale do Paraiso, RO"
50,"Vilhena, RO"
51,"Acrelandia, AC"
52,"Assis Brasil, AC"
53,"Brasileia, AC"
54,"Bujari, AC"
55,"Capixaba, AC"
56,"Cruzeiro do Sul, AC"
57,"Epitaciolandia, AC"
58,"Mancio Lima, AC"
59,"Manoel Urbano, AC"
60,"Marechal Thaumaturgo, AC"
61,"Placido de Castro, AC"
62,"Porto Acre, AC"
63,"Porto Walter, AC"
64,"Rio Branco, AC"
65,"Rodrigues Alves, AC"
66,"Santa Rosa do Purus, AC"
67,"Sena Madureira, AC"
68,"Senador Guiomard, AC"
69,"Tarauaca, AC"
70,"Xapuri, AC"
71,"Alvaraes, AM"
72,"Amatura, AM"
73,"Anama, AM"
74,"Anori, AM"
75,"Apui, AM"
76,"Atalaia do Norte, AM"
77,"Autazes, AM"
78,"Barcelos, AM"
79,"Barreirinha, AM"
80,"Benjamin Constant, AM"
81,"Beruri, AM"
82,"Boa Vista do Ramos, AM"
83,"Boca do Acre, AM"
84,"Borba, AM"
85,"Caapiranga, AM"
86,"Canutama, AM"
87,"Carauari, AM"
88,"Careiro, AM"
89,"Careiro da Varzea, AM"
90,"Coari, AM"
91,"Codajas, AM"
92,"Eirunepe, AM"
93,"Envira, AM"
94,"Fonte Boa, AM"
95,"Humaita, AM"
96,"Iranduba, AM"
97,"Itacoatiara, AM"
98,"Itamarati, AM"
99,"Itapiranga, AM"
100,"Japura, AM"
101,"Jutai, AM"
102,"Labrea, AM"
103,"Manacapuru, AM"
104,"Manaquiri, AM"
105,"Manaus, AM"
106,"Manicore, AM"
107,"Maraa, AM"
108,"Maues, AM"
109,"Nhamunda, AM"
110,"Nova Olinda do Norte, AM"
111,"Novo Airao, AM"
112,"Novo Aripuana, AM"
113,"Parintins, AM"
114,"Pauini, AM"
115,"Presidente Figueiredo, AM"
116,"Rio Preto da Eva, AM"
117,"Santa Isabel do Rio Negro, AM"
118,"Santo Antonio do Ica, AM"
119,"Sao Gabriel da Cachoeira, AM"
120,"Sao Paulo de Olivenca, AM"
121,"Sao Sebastiao do Uatuma, AM"
122,"Silves, AM"
123,"Tabatinga, AM"
124,"Tapaua, AM"
125,"Tefe, AM"
126,"Tonantins, AM"
127,"Uarini, AM"
128,"Urucara, AM"
129,"Urucurituba, AM"
130,"Alto Alegre, RR"
131,"Amajari, RR"
132,"Boa Vista, RR"
133,"Bonfim, RR"
134,"Canta, RR"
135,"Caracarai, RR"
136,"Caroebe, RR"
137,"Iracema, RR"
138,"Mucajai, RR"
139,"Normandia, RR"
140,"Pacaraima, RR"
141,"Rorainopolis, RR"
142,"Sao Joao da Baliza, RR"
143,"Sao Luiz, RR"
144,"Uiramuta, RR"
145,"Abaetetuba, PA"
146,"Abel Figueiredo, PA"
147,"Acara, PA"
148,"Afua, PA"
149,"agua Azul do Norte, PA"
150,"Alenquer, PA"
151,"Almeirim, PA"
152,"Altamira, PA"
153,"Anajas, PA"
154,"Ananindeua, PA"
155,"Anapu, PA"
156,"Augusto Correa, PA"
157,"Aurora do Para, PA"
158,"Aveiro, PA"
159,"Bagre, PA"
160,"Baiao, PA"
161,"Bannach, PA"
162,"Barcarena, PA"
163,"Belem, PA"
164,"Belterra, PA"
165,"Benevides, PA"
166,"Bom Jesus do Tocantins, PA"
167,"Bonito, PA"
168,"Braganca, PA"
169,"Brasil Novo, PA"
170,"Brejo Grande do Araguaia, PA"
171,"Breu Branco, PA"
172,"Breves, PA"
173,"Bujaru, PA"
174,"Cachoeira do Arari, PA"
175,"Cachoeira do Piria, PA"
176,"Cameta, PA"
177,"Canaa dos Carajas, PA"
178,"Capanema, PA"
179,"Capitao Poco, PA"
180,"Castanhal, PA"
181,"Chaves, PA"
182,"Colares, PA"
183,"Conceicao do Araguaia, PA"
184,"Concordia do Para, PA"
185,"Cumaru do Norte, PA"
186,"Curionopolis, PA"
187,"Curralinho, PA"
188,"Curua, PA"
189,"Curuca, PA"
190,"Dom Eliseu, PA"
191,"Eldorado dos Carajas, PA"
192,"Faro, PA"
193,"Floresta do Araguaia, PA"
194,"Garrafao do Norte, PA"
195,"Goianesia do Para, PA"
196,"Gurupa, PA"
197,"Igarape-Acu, PA"
198,"Igarape-Miri, PA"
199,"Inhangapi, PA"
200,"Ipixuna do Para, PA"
201,"Irituia, PA"
202,"Itaituba, PA"
203,"Itupiranga, PA"
204,"Jacareacanga, PA"
205,"Jacunda, PA"
206,"Juruti, PA"
207,"Limoeiro do Ajuru, PA"
208,"Mae do Rio, PA"
209,"Magalhaes Barata, PA"
210,"Maraba, PA"
211,"Maracana, PA"
212,"Marapanim, PA"
213,"Marituba, PA"
214,"Medicilandia, PA"
215,"Melgaco, PA"
216,"Mocajuba, PA"
217,"Moju, PA"
218,"Monte Alegre, PA"
219,"Muana, PA"
220,"Nova Esperanca do Piria, PA"
221,"Nova Ipixuna, PA"
222,"Nova Timboteua, PA"
223,"Novo Progresso, PA"
224,"Novo Repartimento, PA"
225,"obidos, PA"
226,"Oeiras do Para, PA"
227,"Oriximina, PA"
228,"Ourem, PA"
229,"Ourilandia do Norte, PA"
230,"Pacaja, PA"
231,"Palestina do Para, PA"
232,"Paragominas, PA"
233,"Parauapebas, PA"
